token,tf,df,tf-idf
達兆元,14,13,1.2850787458114998
自低,15,13,1.285013496645907
惟市場,14,14,1.2849484845000976
晚間,15,15,1.284274374678103
創史,15,13,1.2842265659943357
收鴻海,12,12,1.2841358261002458
出新,15,15,1.284002530886616
精準,17,12,1.2839157371120982
接器,15,12,1.283735988461469
檢視,15,14,1.2837002482976112
鋼友,13,13,1.2834709188258193
鼓勵,17,16,1.2823347730966048
股三,11,9,1.281876754394418
價來,14,14,1.2811857825057456
購國,39,17,1.2810248606424341
到兆元,13,8,1.2809307860706434
控管,16,13,1.2808962574188334
峰會,15,13,1.2808246774298344
