token,tf,df,tf-idf
電鴻海,1055,928,64.90997062840827
亞股,1178,982,64.81233594775497
空間,1225,1022,64.62498473419338
解析,1235,1232,64.59912508131308
至口,1009,711,64.29796693753637
周線,1112,753,64.26637154236317
上周,1188,735,63.1575017818685
電台,934,847,63.12791736790993
傳產股,1153,987,63.11080033450044
收點,967,758,63.04788418126244
紡織,1107,908,63.04561512592942
月份,1183,747,62.828510806114906
強勁,1238,1057,62.70489549890875
提供,1175,993,62.31222631131585
轉強,1151,885,62.24746794915529
區間,1157,904,62.22723352776152
大關,1105,921,62.014259977294195
衝擊,1142,978,61.99375723746525
生技,1146,937,61.686637187821205
原文,1068,532,61.273902264246004
進場,1127,921,60.75294842325871
時間,1270,1039,60.713912559132616
為點,1081,754,60.704872887523734
玉山,1141,915,60.514511516815865
有望,1132,892,60.19540353461479
就是,1209,805,59.76689059493712
停板,1055,819,59.69938316394533
出貨,1128,887,59.47728346710525
跌點,855,637,59.46180115829798
報導,1218,1101,59.28356464877465
伸堂,1110,903,59.28326081369568
填息,942,495,59.13528349987463
櫃買,1025,832,59.082833444100615
除了,1173,1003,59.049841227508026
元月,980,703,58.95398475000796
轉為,1068,830,58.8825072747993
造紙,1027,895,58.84680198079268
設備,1174,994,58.822814902653555
發展,1158,1005,58.58765980540419
值新,752,751,58.558255185322686
元年,1003,582,58.53821132167807
結算,951,666,58.49309213102596
但是,1156,752,58.42703776267061
前名,548,266,58.399308466195045
五日,1002,632,58.09933227351842
重回,967,798,58.083994879134835
中性,961,706,57.87721064020183
價元,1863,489,57.86075077758
回測,1013,810,57.81757266614194
翻紅,980,825,57.59819909079978
能否,997,820,57.485249567459604
重新,1058,887,57.154647932681456
所有,1134,975,57.11003406641834
向下,1077,869,57.031404507962044
尤其,1090,975,56.79232938858595
高台,950,807,56.773004930059834
隨著,1037,897,56.56248549149083
情況,1033,809,56.382351328035696
宣布,1112,927,56.32768994074359
一步,1070,950,56.2888129342492
鴻海,987,857,56.18853544900425
龍頭,948,881,56.15062573903392
未平倉,867,324,56.12407278715486
價格,1084,822,55.59685382773577
使得,975,832,55.56012359355735
報告,1032,878,55.534508635063986
衰退,907,624,55.44351499305759
守住,969,800,55.32668830610942
大同,979,625,55.301267897877004
不足,962,803,55.15496228310495
年底,1006,762,55.146610004808096
全年,1003,727,54.96412039265405
不如,985,848,54.83794399073875
聚焦,977,774,54.80801191583973
海大,875,788,54.54145356948796
所幸,998,881,54.404057504798395
收黑,944,784,54.37695836426048
造成,1047,880,54.202639796497024
即將,1003,912,54.19806363540814
一路,990,884,54.141700769641794
空方,871,677,53.798672997919844
電大立光,822,758,53.749805597048606
最近,1641,352,53.72178234142069
氣氛,950,800,53.63427269020516
在點,1048,959,53.628817425785726
鋼鐵,899,769,53.51788561596405
調節,935,794,53.39267753064331
如果,1026,684,53.283870485833724
上揚,1016,855,53.22966937440345
去年同期,879,622,53.16525263112546
首季,877,596,53.11129407707334
融券,1003,730,53.04315363064298
目標,940,749,53.02411414327324
線點,856,659,52.84364966132627
主流,934,777,52.69689684994017
升值,866,688,52.57466426501839
股則,893,748,52.49036466172958
進行,1047,873,52.30313568543006
第三季,914,584,52.17034512858229
股台,869,791,52.15232843987119
油價,880,720,51.812637945292536
消息,889,754,51.672522608511564
累計,934,745,51.64906492063258
比重,1016,774,51.63391101597801
逼近,850,770,51.30956478602948
塑膠,898,807,51.24576002976483
三星,922,555,51.171284439859775
股利,894,578,51.13319334704164
雙鏡頭,878,452,51.027259352728436
商賣,981,856,51.0121607688216
選股,1006,896,50.86826375308698
智慧,939,606,50.79412521038744
只要,959,793,50.775949308007085
穩定,956,799,50.77002546841656
反應,927,829,50.72747320461973
下台,907,799,50.70106399029352
回升,877,755,50.42885654236843
變數,873,728,50.28740025661965
關鍵,926,815,50.27607832709559
前波,827,710,50.20895003896938
反壓,837,689,50.159328030410364
日本,907,735,50.13125216169796
狀況,937,770,50.10135116107386
設計,938,739,50.028549988108885
機率,921,724,49.95386737026201
同時,914,793,49.814479313340684
大陸,937,723,49.743673873391586
逐漸,965,804,49.57485444074149
拉高,849,720,49.565136097402885
預計,905,766,49.49194398026872
重點,887,776,49.46022162590383
點關,778,676,49.42345084432496
大成,864,602,49.36524906256675
代工,850,694,49.23554817716439
持平,665,620,49.18133504554043
考量,984,892,49.11627438944846
選擇權,779,370,49.01641169607016
台化,745,662,48.9185340938273
匯率,834,675,48.90774464767498
傳出,846,710,48.81570456716015
已經,885,711,48.765148047150575
代表,887,721,48.723677012336616
政府,948,661,48.589468987638426
陸續,890,797,48.543639164127335
以下,880,786,48.52042843166883
更是,860,764,48.44383699770942
央行,809,602,48.40677316468007
陸股,818,592,48.35461072447248
看法,817,710,48.275544492523096
小漲,752,642,48.04876534858348
股上,897,727,48.01947154771327
缺口,806,609,47.965911385966855
本益比,1313,383,47.95672733063634
訂單,869,712,47.813646494672895
光大,618,458,47.765450589395655
數量,697,444,47.73222716901247
還有,860,756,47.53067935494613
提升,954,753,47.45839295093931
三雄,743,542,47.29875855711107
簡伯儀,659,467,47.26196536027884
逐步,821,704,47.17585107721026
追價,773,661,47.06884550388625
之前,950,782,46.96951061717795
重返,737,604,46.82144323053436
資訊,938,795,46.81461838475935
那斯達克,686,619,46.76118970701155
編輯,749,747,46.66762388380874
先前,855,718,46.61291803873674
外資賣,845,728,46.58072645528593
電纜,784,751,46.54473496978233
外資買,855,734,46.50591608222079
一個,980,719,46.44114186772836
成功,800,661,46.416220035494604
問題,898,704,46.41040412709672
最新,806,708,46.33800046415458
新興,849,646,46.138873266855214
萬口,804,668,46.111684340410015
資料,711,622,46.10083974908838
擴大,790,708,46.05429801380568
數據,869,727,46.02130167378444
狹幅,751,631,45.941392751287694
一日,768,630,45.91410248389174
策略,878,727,45.86865463279953
第四季,766,542,45.85698813887657
上升,787,629,45.72368850724533
人民,841,587,45.680260850634895
發科,753,675,45.669947459989956
偏弱,729,592,45.590380489831794
推出,829,669,45.555966147001904
概況,412,214,45.44655691911757
位置,778,648,45.407010370731285
尚未,825,718,45.337792821903804
逆勢,740,644,45.26236850639625
升至,790,589,45.19303354334335
效應,805,699,45.14311697904678
貨台,639,637,45.142294794210365
有限,766,635,45.11964594398472
領漲,707,608,45.04370608917198
排行,320,166,44.93937066515754
代號,587,353,44.858035673910464
感測,775,489,44.791158606394184
燈漲,725,611,44.78995487863223
新台幣,688,610,44.7721808919403
相當,808,712,44.73673307860044
而言,845,706,44.60781387266825
參考,824,722,44.5638978166191
晶片,798,597,44.427511901539596
依舊,661,547,44.4059264699913
期待,783,686,44.348241354673675
不變,758,593,44.30645263768538
創高,719,613,44.23343283395207
走強,747,617,44.132942353920456
甚至,796,696,44.05597877569751
漲價,765,613,43.86414739533346
不利,775,652,43.776508783287994
微星,725,562,43.72198011167448
環球晶,716,621,43.597504971112315
暗示,573,365,43.55946761564116
第名,1236,115,43.55508548668736
周四,711,540,43.52646489971769
太陽能,668,475,43.52483748963313
聯準,748,590,43.511360989197065
結果,767,596,43.509243167541335
奇力,793,652,43.49977343177741
關稅,747,531,43.36869634885403
環球,706,588,43.34854496385489
同樣,715,612,43.28560456361858
銀行,750,525,43.28154010078644
部份,888,578,43.171136886275875
創歷史,715,639,43.11405079864659
股加權,631,591,43.00486932384036
股及,791,597,43.004497455044266
通路,736,686,42.90905168018965
電腦,763,715,42.89264727410097
跌勢,667,561,42.88962307432787
看待,710,621,42.86859399069489
如下,697,679,42.831057604567036
多空,662,604,42.826773296239864
封關,601,327,42.77252352132733
形成,731,562,42.77229326955431
全數,747,654,42.642121933536146
網路,746,701,42.57193431754729
未能,722,624,42.569268894638036
最為,679,573,42.55531248611608
總統,718,538,42.53299870977304
恩平,681,319,42.48780538903697
玻璃,684,520,42.44773636852498
回到,685,608,42.432817763690224
回穩,700,624,42.410285074557976
價差,665,540,42.38782497670972
心得,769,614,42.32848958715678
強彈,650,544,42.255911004558236
有助,751,637,42.25106759172836
景氣,746,567,42.198746750800964
不會,714,564,42.19535086289732
正式,717,623,42.179082909759536
百點,585,486,42.14372649155369
值為,505,494,42.121105976157125
氣勢,691,615,42.06051025142256
三王,634,471,42.039909418100656
光鴻海,602,553,41.95798300244836
橡膠,682,646,41.84543416892333
自行,594,544,41.830244623749984
任何,713,401,41.828728479063315
面臨,711,639,41.766266613716574
第二季,678,482,41.75915413072073
動能,759,668,41.627974853953376
漲元,502,348,41.558548811507784
歐洲,675,552,41.52154253958982
跡象,654,597,41.38612525287338
點大關,604,509,41.36413704274483
疑慮,685,619,41.33867488498888
大台灣,528,324,41.32036845280076
樂觀,722,622,41.30571124687394
智慧型,732,445,41.29508971740212
點以點,651,551,41.267754002164544
聯發,689,568,41.19823884583984
啟動,713,638,41.15925503023978
超台,619,544,41.133912278706
接近,675,599,41.08799725897058
下周,644,468,41.04888723822758
登場,682,582,40.98593854208794
在外,660,596,40.93623312078713
國泰,617,576,40.81427909755077
現金,689,492,40.71696424975296
股息,666,430,40.60950966835816
協理,613,602,40.55569916008303
貨幣,724,567,40.539546950471056
進光,601,393,40.49562492531261
方向,656,541,40.45931194765808
現階段,704,610,40.34957319237875
淡季,641,536,40.30194952051376
差點,552,342,40.25624048729554
南亞,624,556,40.221235511057074
聯發科,647,555,40.17687974817738
車用,701,512,40.00583877923987
情緒,604,514,39.85367829289841
創年,612,516,39.774514706800666
確定,667,569,39.76149886923802
影線,661,584,39.71503406014796
調整,684,574,39.71472286312669
全新,690,543,39.59651726777805
點收盤,351,253,39.55615815139771
股本,651,535,39.54394480966435
點盤,461,452,39.519050183302774
點收,687,647,39.50927543641806
面來,714,687,39.46221060210252
亞洲,663,586,39.458770563700675
無法,690,616,39.450073658530336
轉弱,644,550,39.4284392379059
股領,570,513,39.421750569854986
股為,640,568,39.39249222538396
政治,639,488,39.33045463290475
攻上,588,519,39.31635299994708
歐美,625,561,39.29702877463468
值得,692,615,39.292150896323456
