token,tf,df,tf-idf
朋友,17,12,1.0566359813984347
多年,14,13,1.0558187131498575
做好,13,12,1.0556682968110307
強且,13,13,1.055476833573375
增逾成,11,11,1.0553310747617637
縮小至,10,10,1.0552735057481404
最強勢,10,8,1.0548184465117711
股未,9,9,1.0545758265280494
點預,9,9,1.0545580424906331
潛力,14,13,1.0544261660860441
康達智,10,7,1.0539046532891962
單續,12,12,1.0538763584314943
國巨盤,10,10,1.0537126332601836
奮力,11,11,1.0533857120102725
逆價差,8,8,1.0533685497413372
不減,10,9,1.0527261228389149
點後,10,10,1.0525739417726763
襲擊,11,11,1.052402546500657
交貨,14,11,1.0521589088343886
前置,10,8,1.0519707242027736
獲買,14,14,1.0516865209983437
七月,13,13,1.0511587606963577
一起,12,12,1.0510338439830542
一份,11,9,1.0508560922945656
黑上,11,11,1.0508506573698728
資維持,10,6,1.0506254433264648
購債,12,8,1.0504288659886527
等同,11,11,1.0504149019559346
配發元,13,10,1.050376925664985
中鋼構,11,11,1.0497901431217285
風向,8,8,1.049761819592374
材持續,12,11,1.0496311784671877
政經,12,11,1.0495550164884588
領大盤,11,11,1.0491918034563792
成鴻海,9,8,1.0491349713607945
建立,18,15,1.049080300109037
光佳凌,11,11,1.0490041927561407
資籌碼,8,8,1.0488009330101713
星期五,13,12,1.0487790543378035
下跌股,10,10,1.048634386731139
分拆,11,11,1.0484940651888501
實上,12,11,1.0484497393967902
應有,13,13,1.0483197092278507
初期,13,13,1.0481292869176904
股價連,12,11,1.0479945401480892
普當,14,12,1.0478680269225327
兆元,12,12,1.0478503011527347
金大立光,8,8,1.0475794773938585
點表現,8,8,1.0475539443088404
取代,12,11,1.0474830964792625
成華,10,9,1.047452079757978
配股,11,7,1.0473727964279718
領導,10,10,1.0471897636063776
成鴻準,10,10,1.0469927533783072
則可,14,14,1.0464934970362416
關心,13,13,1.0464071223379106
幫助,13,12,1.0463824018627168
點開出,10,9,1.0460845715509826
低調,13,12,1.0460689181727538
安泰,12,12,1.0459143032580032
能守,11,11,1.045885887348416
峰會,12,9,1.0457387693246523
歸屬,12,10,1.0455259506711583
