token,tf,df,tf-idf
因素,51,44,2.970394985726943
高達,65,50,2.96722631110625
景氣,50,34,2.964419300963504
下午,47,44,2.959058112565386
站上,47,40,2.9460578308994454
一個,77,52,2.944124978180056
出口,62,16,2.9417219925905904
去年同期,48,38,2.938768393691839
宏碁,64,29,2.935089037341693
元年,45,37,2.9259495720688253
格局,47,38,2.918768132704512
上市公司,45,27,2.9170056341049606
有利,55,43,2.916856035407939
開低,43,34,2.915006509116566
數據,47,41,2.91494653343959
快速,63,51,2.891865182277755
狀況,52,41,2.8910813255562733
透露,60,46,2.883293609505012
還有,50,45,2.8712232559614574
國內,74,51,2.8698818891570657
純益,41,24,2.86251077181602
正常,38,24,2.8480775960561076
第季營,44,37,2.845065480613424
賣壓,43,32,2.83597678441372
左右,48,42,2.8349172557472135
超台,43,39,2.831798012131696
期指,37,17,2.816577810782251
只是,52,44,2.8144276398365706
投審會,46,16,2.8038542134852533
成本,70,36,2.7982685949499606
年月日,43,23,2.7981284212424464
設立,50,32,2.795986120930742
吸引,52,43,2.795044502435027
第季業績,41,34,2.7879700704053176
電第季,38,36,2.7802871784710814
零組件,48,40,2.7741540042674355
新興,45,28,2.7633769165792974
推動,67,39,2.7631367506068885
生產,58,46,2.76211227344285
提高,60,43,2.7570835035721126
三大,42,35,2.7565884186054137
中信,45,29,2.7490892441208463
經濟部,55,29,2.7477763604584817
出貨量,42,29,2.7444628296782136
強調,55,47,2.7427986998493847
採用,57,36,2.73865581060711
封測,57,30,2.732419075751472
過去,66,52,2.728093148776947
明會,36,32,2.7258752271320006
外界,59,44,2.725570125615655
點大關,44,34,2.71844294325352
規模,47,34,2.701069678456184
預料,48,43,2.676488722697182
一路,46,37,2.665327158683182
道瓊,42,34,2.6638616572737916
失守,39,23,2.6615700645996188
增至,37,32,2.661412894256949
上攻,41,33,2.6576958986228925
不會,48,37,2.655727056143339
成功,57,44,2.653776159071582
小跌,38,27,2.6531601375097007
新政府,49,21,2.652287725063844
台塑,53,29,2.648381062669349
大跌,43,30,2.645266906448335
以下,36,30,2.640044515977575
攀高,34,27,2.639277816965937
正面,39,32,2.6374526087412726
沒有,55,40,2.630081699593359
元月,33,30,2.6290145381662766
何麗梅,39,23,2.626689173945664
下台,40,37,2.625732097105372
實境,43,30,2.6222489863890464
就業,50,22,2.620482607126781
不如,44,38,2.6136465045579236
四大,50,42,2.6102267761916536
央行,43,29,2.6066515286628515
壓力,49,44,2.597854952817957
電腦,45,35,2.5890794139731153
陸資,51,20,2.5883146455257138
論壇,37,21,2.5759259767068325
半年,36,24,2.57102815212557
根據,47,43,2.567046246051239
明顯,41,34,2.564668776551115
高檔,38,33,2.5605821809601883
行動,45,39,2.55360089915556
登場,40,35,2.551481634071456
統計,46,43,2.5502714868227407
重點,46,35,2.547919835028286
弘塑,26,11,2.544099140182182
大型,45,34,2.536344773714593
尾盤,39,26,2.5330220468032953
利多,39,35,2.532341000908075
產出,34,21,2.53034515241388
希望,66,40,2.5267576921235873
資料,45,24,2.5242714929930807
脫歐,42,25,2.5204324718350812
策略,52,38,2.517952152787685
科技股,33,25,2.5137915528222625
優勢,51,43,2.5128887126347177
樂觀,35,33,2.5043657703859097
價值,60,28,2.497447338629978
焦點,42,38,2.4819307599120597
不僅,46,45,2.476501779164764
超越,42,34,2.4741955342520785
挹注,44,41,2.4707945682681403
大關,42,35,2.4681170132862937
記憶體,42,24,2.455977738128973
排名,52,29,2.455812265847399
塑化,39,28,2.4557714320119115
台北,37,36,2.4519253005472286
逐漸,47,38,2.4511088964673315
趨勢,56,48,2.4494421722347925
效能,42,27,2.444518514978125
年底,41,33,2.444167654163241
漲勢,34,28,2.4354351421172615
亞洲,48,34,2.4305687526858355
報導,39,25,2.43041284694909
管理,54,37,2.423269411967058
召開,37,27,2.4231305054156365
亞股,41,35,2.4189426324587835
季線,32,20,2.417410210819614
平台,42,29,2.4120272338576143
近年,56,44,2.408529591089509
機台,41,22,2.4053953910478634
最新,47,44,2.4003724408958
依舊,39,27,2.3992219906259296
開出,38,30,2.397833066933004
股東,48,32,2.3901995837724037
應該,47,39,2.3852169723207624
持平,36,34,2.384235463918993
環境,48,35,2.3820996955310356
需要,57,47,2.3721603100456283
大量,42,36,2.3686785852107453
世代,45,31,2.3670105519710263
已經,51,44,2.364889477835178
不是,54,36,2.358571518454968
量產,35,26,2.3580819566483386
積極,47,40,2.3572148886917175
體業,43,33,2.3511741797722125
翻紅,37,32,2.3507358186566245
還是,45,36,2.344459847099976
