token,tf,df,tf-idf
主委,28,25,1.2903345713353733
填寫,26,22,1.290014524341656
滿足,27,27,1.2898148975998383
適合,26,23,1.2891348095191042
連續,28,24,1.2865188617057726
有家,22,19,1.2856395351772363
元年,25,22,1.2849982245187366
飛行,20,8,1.2789925339113075
相較,28,25,1.2747604503352727
程式,24,13,1.270509870894986
拍板,19,13,1.268382657045745
報酬,21,12,1.268169024186287
一家,25,20,1.2666501245373583
假日,22,19,1.2655096068726417
因素,25,21,1.2649360223259116
效益,27,24,1.2628918378630798
應該,30,23,1.259038035666614
假期,21,16,1.2577186511642355
自然人,23,7,1.2573131188232212
新戶,22,13,1.257099314753908
討論,22,19,1.2566338101926597
人才,24,12,1.2554417109401022
自月,19,18,1.2549241964904516
雙方,27,19,1.253882765019831
